,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (mm),Total Precip (mm),Winter,Summer,Spring,Fall
2153,1941,9,1,16.8,25.1,0.0,25.1,0.0,0.0,0.0,1.0
2032,2014,9,20,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
953,2017,5,14,12.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2125,1969,9,1,15.6,15.0,0.0,15.0,0.0,0.0,0.0,1.0
717,2017,4,22,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1856,1983,8,1,21.1,112.2,0.0,112.2,0.0,1.0,0.0,0.0
1485,2015,7,19,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1141,2018,6,25,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1422,2017,7,20,20.0,19.0,0.0,19.0,0.0,1.0,0.0,0.0
1221,2016,6,5,21.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0
2768,2014,12,14,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
703,2018,4,6,1.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0
893,1949,4,1,6.7,30.7,5.0,31.2,0.0,0.0,1.0,0.0
1840,1999,8,1,20.3,59.0,0.0,59.0,0.0,1.0,0.0,0.0
1275,2014,6,11,20.0,24.0,0.0,24.0,0.0,1.0,0.0,0.0
1644,2018,8,28,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1588,1990,7,1,20.9,68.4,0.0,68.4,0.0,1.0,0.0,0.0
694,2018,4,15,-2.0,15.0,40.0,28.0,0.0,0.0,1.0,0.0
1334,1983,6,1,18.3,33.0,0.0,33.0,0.0,1.0,0.0,0.0
60,2017,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1981,2016,9,11,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1165,2018,6,1,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
924,2018,5,12,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1638,1940,7,1,20.5,70.9,0.0,70.9,0.0,1.0,0.0,0.0
1799,2013,8,28,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2471,2016,11,21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
526,2016,3,15,8.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0
1024,2015,5,5,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,2017,1,10,2.0,11.0,70.0,19.0,1.0,0.0,0.0,0.0
2115,1979,9,1,14.9,44.5,0.0,44.5,0.0,0.0,0.0,1.0
1467,2016,7,6,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2248,2016,10,2,16.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0
580,2014,3,23,-8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
629,1987,3,1,1.8,31.8,144.0,44.2,0.0,0.0,1.0,0.0
733,2017,4,6,4.0,28.0,0.0,28.0,0.0,0.0,1.0,0.0
888,1954,4,1,7.0,91.4,0.0,91.4,0.0,0.0,1.0,0.0
2141,1953,9,1,16.0,72.9,0.0,72.9,0.0,0.0,0.0,1.0
1186,2017,6,10,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2518,2015,11,4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2457,2017,11,5,11.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0
2334,2013,10,9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2311,2014,10,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2037,2014,9,15,14.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0
169,1999,1,1,-6.2,33.0,796.0,107.0,1.0,0.0,0.0,0.0
69,2016,1,24,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2437,2017,11,25,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1313,2004,6,1,17.6,62.8,0.0,62.8,0.0,1.0,0.0,0.0
2325,2013,10,18,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1666,2018,8,6,28.0,23.0,0.0,23.0,0.0,1.0,0.0,0.0
1994,2015,9,28,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2767,2014,12,15,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1225,2016,6,1,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
394,1991,2,1,-2.4,2.9,240.0,23.5,1.0,0.0,0.0,0.0
1641,2018,8,31,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
466,2018,3,13,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2823,2002,12,1,-2.0,14.2,195.0,32.5,1.0,0.0,0.0,0.0
1850,1989,8,1,19.7,39.6,0.0,39.6,0.0,1.0,0.0,0.0
1131,1942,5,1,12.9,208.5,0.0,208.5,0.0,0.0,1.0,0.0
2378,1977,10,1,8.0,69.4,0.0,69.4,0.0,0.0,0.0,1.0
1274,2014,6,12,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
848,1994,4,1,7.3,83.4,132.0,96.0,0.0,0.0,1.0,0.0
2218,2017,10,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2614,1980,11,1,2.1,26.5,106.0,35.3,0.0,0.0,0.0,1.0
1462,2016,7,11,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1199,2016,6,27,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2220,2016,10,30,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1931,2018,9,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
554,2015,3,18,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1614,1964,7,1,21.1,101.6,0.0,101.6,0.0,1.0,0.0,0.0
2674,2017,12,15,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
870,1972,4,1,2.8,42.2,102.0,52.8,0.0,0.0,1.0,0.0
2089,2005,9,1,19.0,79.6,0.0,79.6,0.0,0.0,0.0,1.0
1475,2015,7,29,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1942,2017,9,20,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
272,2017,2,15,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1709,2016,8,25,26.0,15.0,0.0,15.0,0.0,1.0,0.0,0.0
1352,1965,6,1,16.5,40.1,0.0,40.1,0.0,1.0,0.0,0.0
2106,1988,9,1,15.5,70.6,0.0,70.6,0.0,0.0,0.0,1.0
2009,2015,9,13,12.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0
2170,2018,10,18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
303,2016,2,13,-21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2833,1992,12,1,-1.6,24.3,350.0,56.3,1.0,0.0,0.0,0.0
746,2016,4,23,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
234,2018,2,25,7.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0
1667,2018,8,5,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2461,2017,11,1,6.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
1980,2016,9,12,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
787,2015,4,12,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1950,2017,9,12,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021,2015,9,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1760,2015,8,5,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2266,2015,10,15,12.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0
123,2015,1,1,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2798,2013,12,15,-9.0,0.0,30.0,2.0,1.0,0.0,0.0,0.0
2818,2007,12,1,-2.3,49.2,444.0,92.7,1.0,0.0,0.0,0.0
1003,2015,5,26,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
926,2018,5,10,13.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
1972,2016,9,20,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
301,2016,2,15,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
774,2015,4,25,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
655,1961,3,1,0.1,19.8,328.0,77.0,0.0,0.0,1.0,0.0
887,1955,4,1,9.5,63.2,0.0,63.2,0.0,0.0,1.0,0.0
1842,1997,8,1,19.0,71.8,0.0,71.8,0.0,1.0,0.0,0.0
1537,2013,7,29,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
